Id	Client	Count	Tot_Avg	Ok	Error	Insta_Avg
0	1	0	0.0	0	0	0
1	3	0	0.0	0	0	0
2	3	12284	4013.801936976383	12266	0	12266
3	3	34260	8435.168002891494	34242	0	22020
4	3	52201	10308.895596783765	52201	0	17915
5	5	72060	11867.23909160122	72127	0	20017
6	5	93452	13202.213460177354	93452	0	21234
7	5	116117	14350.68102612245	116061	0	22788
8	5	142739	15643.562750480685	142607	0	26697
9	4	167531	16481.520796617497	167299	0	24139
10	5	194532	17388.083408311762	194215	0	26833
11	5	221393	18099.226793588714	221579	0	28087
12	5	252169	18987.811669557606	252436	0	30488
13	5	279336	19529.17883150441	279336	0	26852
14	5	305075	19809.659737479393	305160	0	26976
15	5	337282	20418.627819198384	337388	0	31908
16	5	370641	21023.232640012087	370641	0	32709
17	5	395048	21126.32407854294	394985	0	24365
18	5	424840	21508.614330658547	424890	0	29636
19	5	455045	21889.71742495973	455021	0	30183
20	5	478973	21951.691457130008	478736	0	23623
21	5	507916	22197.827766890205	507969	0	29530
22	5	534831	22358.065656164086	534771	0	26706
23	5	565461	22616.451561578706	565328	0	31691
24	5	598175	22851.540683019917	598166	0	31488
25	5	622881	22906.17595671781	622862	0	25391
26	5	653364	23081.52430956863	653488	0	30370
27	5	678080	23117.560232805234	677819	0	23997
28	5	703940	23167.189909117966	703906	0	26197
29	5	736560	23432.803978562813	736649	0	32479
30	5	766790	23604.45606718775	766815	0	30920
31	5	795552	23708.089675746687	795566	0	29358
32	5	821643	23731.657523890575	821563	0	25078
33	5	849479	23771.06901237931	849508	0	27857
34	5	881807	23989.990774074515	881807	0	32172
35	5	908133	24014.67007406436	908351	0	27013
36	5	938471	24135.53474386083	938410	0	30072
37	5	966441	24187.21370563978	966439	0	27386
38	5	990164	24147.155805713337	990272	0	25134
39	5	1021377	24286.0059023409	1021264	0	30002
40	5	1051683	24339.197013837507	1052288	0	31476
41	5	1082400	24458.592646613604	1082394	0	29352
42	5	1105635	24397.87580139884	1106176	0	23795
43	5	1133666	24443.769515227803	1133615	0	28007
44	5	1160245	24465.614587637854	1160212	0	26131
45	5	1185082	24466.93085407361	1184960	0	26081
46	5	1216414	24544.647448870124	1216280	0	30356
47	5	1244653	24596.56221655428	1244524	0	27862
48	5	1271190	24607.143533966304	1271240	0	28595
49	5	1299486	24583.25030051668	1299270	0	27430
50	5	1329678	24592.34694658869	1329811	0	31182
51	5	1361928	24670.374060320624	1361858	0	30528
52	5	1390791	24708.08675792362	1390834	0	28498
53	5	1417363	24705.82066829194	1417723	0	26871
54	5	1447106	24766.768299961885	1447304	0	29563
55	5	1479489	24860.652026739608	1479406	0	32169
56	5	1504197	24843.112918614595	1504132	0	25280
57	5	1530722	24835.04491011066	1530822	0	26138
58	5	1553821	24775.82510410912	1553957	0	24273
59	5	1583775	24786.11660087866	1584012	0	29861
60	5	1612033	24780.932661730516	1611808	0	26950
61	5	1634988	24716.465666407894	1635727	0	25685
62	5	1670917	24807.399059231757	1670912	0	33942
63	5	1700752	24849.956555182165	1700724	0	29588
64	5	1728979	24870.8809440635	1728965	0	27800
65	5	1755513	24888.363649772746	1755516	0	27514
66	5	1784294	24923.803905170775	1784339	0	28001
67	5	1810102	24927.999324861117	1810071	0	25896
68	5	1836618	24925.91750899613	1836184	0	26701
69	5	1862332	24908.97073214798	1862347	0	26282
70	5	1892464	24945.161451517288	1892466	0	29186
71	5	1922684	24972.821844157254	1922513	0	30481
72	5	1950583	24980.41672452067	1950715	0	28582
73	5	1984294	25026.63320842597	1984001	0	33374
74	5	2015676	25074.504458536827	2015695	0	30689
75	5	2043894	25106.8367275467	2043806	0	28496
76	5	2071830	25121.55428460347	2071829	0	27744
77	5	2096285	25108.669164535782	2096232	0	25158
78	5	2126741	25139.429415340863	2126497	0	30364
79	5	2158136	25195.108819141493	2158663	0	31370
80	5	2182023	25168.970889346823	2182087	0	24212
81	5	2209581	25155.05482115241	2209119	0	25848
82	5	2236783	25173.84836393333	2236905	0	28017
83	5	2267242	25217.870770438727	2267265	0	30366
84	5	2292415	25215.074688225628	2292415	0	25188
85	5	2314879	25175.617539606963	2314879	0	23243
86	5	2344449	25200.117416076275	2344383	0	28846
87	5	2371780	25209.54669073176	2371636	0	27184
88	5	2399413	25223.675464871216	2399477	0	28303
89	5	2431545	25280.33858703769	2431438	0	31518
90	5	2456223	25271.111203937202	2456088	0	25243
91	5	2483357	25273.17488954142	2483330	0	27196
92	5	2512139	25293.182815272296	2512110	0	28191
93	5	2536710	25284.668441028665	2536636	0	24474
94	5	2564313	25301.500287591836	2564361	0	28021
95	5	2591048	25310.98996207788	2590994	0	26316
96	5	2618419	25329.916283028535	2618400	0	27402
97	5	2645439	25342.869969982927	2645221	0	26825
98	5	2672000	25340.576350355164	2671193	0	26954
99	5	2702006	25371.69330784013	2701916	0	29809
100	5	2726743	25359.94308048817	2726849	0	25300
101	5	2753509	25357.23026756934	2753650	0	26583
102	5	2782030	25378.489590210684	2782028	0	28161
103	5	2807119	25369.569568594343	2807117	0	25235
104	5	2837941	25412.29621453324	2837941	0	30679
105	5	2857034	25350.539575865056	2857309	0	19789
106	5	2884680	25363.312160809946	2884077	0	27310
107	5	2921986	25427.91283576036	2922032	0	37168
108	5	2945573	25406.510043158858	2945502	0	23588
109	5	2971202	25385.98123014169	2971140	0	25720
110	5	3001608	25402.3228998157	3001684	0	30194
111	5	3026716	25392.749093397153	3026721	0	24873
112	5	3054393	25392.985914800003	3054399	0	27748
113	5	3084408	25416.102519346085	3084449	0	30405
114	5	3114862	25433.6226730011	3114811	0	30657
115	5	3145395	25458.310824713066	3145251	0	30774
116	5	3173932	25461.852318204918	3173768	0	28059
117	5	3201680	25461.59316912172	3201734	0	27668
118	5	3229192	25470.188881021917	3228991	0	26756
119	5	3257189	25480.58647258382	3257131	0	30566
120	5	3288627	25497.872775668846	3288578	0	30511
121	5	3315087	25491.100263900935	3315128	0	24962
122	5	3342544	25496.01199566806	3342569	0	28426
123	5	3376868	25541.75174676635	3377058	0	33658
